,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
44,Realme," 5 Pro (Sparkling Blue, 64 GB)",Sparkling Blue,64,4.5,"1,26,063","12,560",4,4035,6.3,1,13999,6% off,14999
45,Redmi," Note 8 Pro (Halo White, 128 GB)",Halo White,128,4.4,"2,336",,8,4500,6.53,1,18737,6% off,19999
46,Redmi," Note 8 Pro (Electric Blue, 128 GB)",Electric Blue,128,4.4,"2,336",,8,4500,6.53,1,18990,5% off,19999
47,Redmi," Note 8 Pro (Electric Blue, 64 GB)",Electric Blue,64,4.5,,,6,4500,6.53,,16990,0 % off,16990
48,Micromax, X741,,,4.1,"14,519","1,497",,1750,2.4,1,1049,58% off,2499
49,POCO," F1 (Steel Blue, 256 GB)",Steel Blue,256,4.5,"21,517","2,596",8,4000,6.18,1,22999,25% off,30999
50,Yu," Ace (Rose Gold, 16 GB)",Rose Gold,16,4.1,"60,932","7,916",2,4000,5.45,1,4299,46% off,7999
51,Mi," A3 (More Than White, 64 GB)",More Than White,64,4.3,"24,784","2,116",4,4030,6.08,1,11995,20% off,14999
52,Realme," 5 Pro (Crystal Green, 64 GB)",Crystal Green,64,4.5,"72,701","7,514",6,4035,6.3,1,14999,6% off,15999
53,Realme," 5 Pro (Sparkling Blue, 128 GB)",Sparkling Blue,128,4.5,"58,642","6,001",8,4035,6.3,1,16999,5% off,17999
54,Realme," 5 Pro (Sparkling Blue, 64 GB)",Sparkling Blue,64,4.5,"72,701","7,514",6,4035,6.3,1,14999,6% off,15999
55,Realme," 5 Pro (Crystal Green, 64 GB)",Crystal Green,64,4.5,"1,26,063","12,560",4,4035,6.3,1,13999,6% off,14999
56,Honor," 9X (Midnight Black, 128 GB)",Midnight Black,128,4.4,,,6,4000,6.59,1,16999,15% off,19999
57,Nokia, 105 ss,,,4.3,"61,000","6,015",,800,1.8,1,1075,2% off,1100
58,Nokia, 105 SS,,,4.3,"61,000","6,015",,800,1.77,1,1125,0 % off,1125
